ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Luminox NAVY SEAL,No:XS.3505.L,"HKD 3,500","HKD 2,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905136/cm-0/d-0,Diameter 45 mm Thickness 14 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material Rubber,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5583890233808737049.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox NAVY SEAL,No:XS.3502,"HKD 3,900","HKD 3,120",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905133/cm-0/d-0,Diameter 45 mm Thickness 14 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material Rubber,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5300614678669161681.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Navy Seal,No:XS.3501,"HKD 3,500","HKD 2,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905131/cm-0/d-0,Diameter       45 mm       Thickness       14 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       Rubber,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5409328702650840867.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Scott Cassell Deep Dive,No:XS.1567,"HKD 5,950","HKD 4,760",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905126/cm-0/d-0,Diameter 45 mm Thickness 15 mm Shape Round Glass Sapphire Glass,Color Green,Color Black Width Material Rubber,Quartz,30 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5070153954667308884.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5471629158070064496.jpg_700x650.ashx,N\A,N\A,N\A
Luminox Scott Cassell Deep Dive,No:XS.1555,"HKD 5,950","HKD 4,760",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905125/cm-0/d-0,Diameter 45 mm Thickness 15 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material Rubber,Quartz,30 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5154110146271202153.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5240461565509832974.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5306448329140447090.jpg_700x650.ashx,N\A,N\A
Luminox Scott Cassell Deep Dive,No:XS.1551,"HKD 5,950","HKD 4,760",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905123/cm-0/d-0,Diameter 45 mm Thickness 15 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material Rubber,Quartz,30 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5515892674371132103.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5366269649412118209.jpg_700x650.ashx,N\A,N\A,N\A
Seiko Prospex,No:SRPE09K1,"HKD 3,980","HKD 3,184",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904798/cm-0/d-0,Diameter 42.4 mm Thickness 13.4 mm Shape Round Glass Hardlex Crystal,Color Blue,Color Silver Width Material Stainless Steel,Mechanical (4R36),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4642045828846224274.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SLA039J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904611/cm-0/d-0,Diameter 44.8 mm Thickness 15.7 mm Shape Round Glass Sapphire Glass,Color Blue,Color Blue Width Material Silicone,Automatic (8L55),30 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/4723395619919589117.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/5332272138745302271.jpg_700x650.ashx,N\A,N\A,N\A
Citizen Promaster,No:NY0090-86E,"HKD 3,250","HKD 2,600",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902378/cm-0/d-0,Diameter 42 mm Thickness 12.6 mm Shape Round Glass Mineral Glass,Color Black,Color Silver Width 20 mm Material Stainless Steel,Mechanical,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5178267658435100747.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Promaster,No:NY0081-10L,"HKD 2,400","HKD 1,920",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902373/cm-0/d-0,Diameter 42 mm Thickness 12.6 mm Shape Round Glass Mineral Glass,Color Blue,Color Black Width 20 mm Material Silicon,Mechanical,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4948993051916435304.jpg_700x650.ashx,N\A,N\A,N\A,N\A
